Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20110307,734569,10626.97,10505.02,10626.97,10472.51,1493844352,24.90192324,-70.51977544,221.15,10594.32462,10602.15829,10606.222,10587.847,-21.74,-331.62,-3.060173633,-0.0149727606,13195684.6,76.48,0.13615
20110308,734570,10513.08,10525.19,10565.1,10509.23,1502911744,16.31566765,-62.65971515,60.08,10600.665,10594.82798,10560.454,10573.896,-98.9,-317.61,-2.929224923,-0.005095896626,18412165.69,76.78,0.13615
20110309,734571,10607.23,10589.5,10662.07,10563.82,1310151552,14.53275324,-12.55353334,136.88,10614.18731,10594.32055,10579.878,10574.936,-164.53,-268.03,-2.468609343,0.01291751263,1823066.656,76.69,0.13615
20110310,734572,10544.13,10434.38,10549.17,10410.1,1310140544,0.5960225351,-104.6044708,179.4,10620.33654,10579.08812,10549.55,10573.103,-58,-230.32,-2.159648185,-0.008775729664,-10994846.31,77.26,0.13615
20110311,734573,10298.64,10254.43,10378.55,10254.43,2360124160,-24.68484651,-217.9380923,179.95,10612.53154,10548.1683,10461.704,10545.87,-331.59,-324.67,-3.068975622,-0.03479450946,-25501956.17,76.71,0.13615
20110314,734576,10044.17,9620.49,10049.92,9578.65,3497524992,-94.78119864,-353.1063842,675.78,10581.34423,10459.81798,10284.798,10445.51,-1073.17,-832.22,-7.961763026,-0.1054060664,-45762352.96,76.36,0.13615
20110315,734577,9441.66,8605.15,9441.66,8227.63,4157194240,-229.6156489,-328.5713538,1392.86,10506.79154,10283.18294,9900.79,10230.622,-1899.87,-1921.61,-18.25452466,-0.1798667223,-68982911.16,76.35,0.13615
20110316,734578,8767.2,9093.72,9168.51,8763.95,3720509952,-293.6642279,-179.0490048,563.36,10449.16385,10169.90075,9601.634,10090.756,-1431.47,-1530.37,-14.40471607,-0.1409689383,-27857758.8,76.18,0.13615
20110317,734579,8913.35,8962.67,9093.61,8639.56,3120828672,-350.9522687,-139.7726287,454.16,10384.80577,10054.9264,9307.292,9928.421,-1626.83,-1791.36,-16.6575693,-0.1618706785,-31791503.79,75.99,0.13615
20110318,734580,9083.95,9206.75,9275.6,9073.25,2453847808,-372.365836,-86.73357271,312.93,10330.53346,9974.147691,9097.756,9779.73,-1227.63,-1285.63,-12.25298741,-0.1235856762,-26774296.48,75.56,0.13615
20110322,734584,9403.05,9608.32,9625.03,9395.85,2525704960,-352.8652881,-41.98333526,418.28,10292.17462,9939.306958,9095.322,9690.06,-12.17,-1085.34,-10.14937823,-0.08711196662,-6464966.556,75.47,0.13615
20110323,734585,9590.38,9449.47,9592.4,9387.95,2651119616,-346.2376191,-41.49187739,220.37,10243.095,9892.65582,9264.186,9582.488,844.32,-1055.55,-10.04805322,-0.107656641,-35157539.31,75.9,0.13692
20110324,734586,9479.77,9435.01,9509.85,9418.71,2001238784,-338.2527773,-37.32001971,91.14,10192.64654,9849.070503,9332.444,9467.039,341.29,-1090.18,-10.35781777,-0.09577665372,-33684620,75.7,0.13615
20110325,734587,9565.49,9536.13,9569.71,9469.37,2037289216,-320.0755619,-23.02315897,134.7,10143.71731,9819.266646,9447.136,9377.214,573.46,-1053.37,-9.947306294,-0.07004777447,-43594420.51,76.14,0.13615
