Ntime,Matlab_time,Close
20130805,735451,22199
20130806,735452,21838
20130807,735453,21541
20130808,735454,21640
20130809,735455,21703
20130812,735458,22191
20130813,735459,22549
20130815,735461,22551
20130816,735462,22488
20130819,735465,22419
20130820,735466,21875
20130821,735467,21746
20130822,735468,21892
20130823,735469,21813
20130826,735472,22010
20130827,735473,21806
20130828,735474,21510
20130829,735475,21619
20130830,735476,21568
20130902,735479,22156
20130903,735480,22315
20130904,735481,22325
20130905,735482,22620
20130906,735483,22692
20130909,735486,22757
20130910,735487,22951
20130911,735488,22969
20130912,735489,22981
20130913,735490,22933
20130916,735493,23326
20130917,735494,23191
20130918,735495,23200
20130919,735496,23559
20130923,735500,23356
20130924,735501,23193
20130925,735502,23166
20130926,735503,23136
20130927,735504,23182
20130930,735507,22883
20131002,735509,22975
20131003,735510,23180
20131004,735511,23099
20131007,735514,22911
20131008,735515,23163
20131009,735516,23027
20131010,735517,22956
20131011,735518,23235
20131015,735522,23342
20131016,735523,23210
20131017,735524,22961
20131018,735525,23308
20131021,735528,23401
20131022,735529,23308
20131023,735530,22990
20131024,735531,22794
20131025,735532,22662
20131028,735535,22781
20131029,735536,22867
20131030,735537,23067
20131031,735538,23242
20131101,735539,23254
20131104,735542,23170
20131105,735543,23009
20131106,735544,23040
20131107,735545,22815
20131108,735546,22744
20131111,735549,23028
20131112,735550,22865
20131113,735551,22509
20131114,735552,22546
20131115,735553,23003
20131118,735556,23669
20131119,735557,23754
20131120,735558,23757
20131121,735559,23590
20131122,735560,23733
20131125,735563,23744
20131126,735564,23729
20131127,735565,23818
20131128,735566,23942
20131129,735567,23921
20131202,735570,24032
20131203,735571,23908
20131204,735572,23730
20131205,735573,23698
20131206,735574,23762
20131209,735577,23769
20131210,735578,23766
20131211,735579,23346
20131212,735580,23186
20131213,735581,23240
20131216,735584,23089
20131217,735585,23062
20131218,735586,23180
20131219,735587,22833
20131220,735588,22832
20131223,735591,22924
20131224,735592,23209
20131227,735595,23278
20131230,735598,23244
20131231,735599,23333
20140102,735601,23334
20140103,735602,22790
20140106,735605,22679
20140107,735606,22612
20140108,735607,22948
20140109,735608,22788
20140110,735609,22863
20140113,735612,22827
20140114,735613,22771
20140115,735614,22910
20140116,735615,22973
20140117,735616,23166
20140120,735619,22869
20140121,735620,23047
20140122,735621,23055
20140123,735622,22721
20140124,735623,22424
20140127,735626,21922
20140128,735627,22009
20140129,735628,22182
20140130,735629,22009
20140204,735634,21447
20140205,735635,21197
20140206,735636,21332
20140207,735637,21527
20140210,735640,21514
20140211,735641,21902
20140212,735642,22258
20140213,735643,22160
20140214,735644,22324
20140217,735647,22529
20140218,735648,22581
20140219,735649,22636
20140220,735650,22374
20140221,735651,22581
20140224,735654,22378
20140225,735655,22342
20140226,735656,22412
20140227,735657,22660
20140228,735658,22807
20140303,735661,22422
20140304,735662,22629
20140305,735663,22532
20140306,735664,22626
20140307,735665,22591
20140310,735668,22185
20140311,735669,22225
20140312,735670,21906
20140313,735671,21751
20140314,735672,21505
20140317,735675,21393
20140318,735676,21555
20140319,735677,21533
20140320,735678,21150
20140321,735679,21434
20140324,735682,21811
20140325,735683,21739
20140326,735684,21875
20140327,735685,21835
20140328,735686,22077
20140331,735689,22140
20140401,735690,22413
20140402,735691,22514
20140403,735692,22554
20140404,735693,22530
20140407,735696,22400
20140408,735697,22630
20140409,735698,22866
20140410,735699,23275
20140411,735700,22995
20140414,735703,23075
20140415,735704,22656
20140416,735705,22696
20140417,735706,22743
20140422,735711,22737
20140423,735712,22468
20140424,735713,22543
20140425,735714,22175
20140428,735717,22157
20140429,735718,22213
20140430,735719,21837
20140502,735721,22024
20140505,735724,21775
20140507,735726,21559
20140508,735727,21627
20140509,735728,21676
20140512,735731,22118
20140513,735732,22199
20140514,735733,22386
20140515,735734,22550
20140516,735735,22575
20140519,735738,22574
20140520,735739,22723
20140521,735740,22794
20140522,735741,22915
20140523,735742,22931
20140526,735745,22948
20140527,735746,22951
20140528,735747,23036
20140529,735748,23133
20140530,735749,22910
20140603,735753,23104
20140604,735754,22992
20140605,735755,22985
20140606,735756,22790
20140609,735759,23008
20140610,735760,23177
20140611,735761,23106
