Date,Ntime,close price
20140321,735679,6510.7
20140322,735680,6512.15
20140324,735682,6598.85
20140325,735683,6605.95
20140326,735684,6612.55
20140327,735685,6641.75
20140328,735686,6728.65
20140331,735689,6739.65
20140401,735690,6756.25
20140402,735691,6790.2
20140403,735692,6768.45
20140404,735693,6744.2
20140407,735696,6736.7
20140409,735698,6835.5
20140410,735699,6825.05
20140411,735700,6803.55
20140415,735704,6753.95
20140416,735705,6697.3
20140417,735706,6799.95
20140421,735710,6838.15
20140422,735711,6829.6
20140423,735712,6840.8
20140425,735714,6826.3
20140428,735717,6820
20140429,735718,6760.3
20140430,735719,6726.45
20140502,735721,6726.7
20140505,735724,6735.5
20140506,735725,6746.7
20140507,735726,6681.65
20140508,735727,6680.95
20140509,735728,6887.4
20140512,735731,7043.05
20140513,735732,7135.3
20140514,735733,7141.05
20140515,735734,7143.1
20140516,735735,7244.4
20140519,735738,7279.9
20140520,735739,7300.6
20140521,735740,7280
20140522,735741,7293.7
20140523,735742,7382.1
20140526,735745,7361.8
20140527,735746,7320.1
20140528,735747,7332.1
20140529,735748,7235.65
20140530,735749,7233.65
20140602,735752,7370.95
20140603,735753,7421.4
20140604,735754,7416.4
20140605,735755,7486.75
20140606,735756,7590.75
20140609,735759,7669.75
20140610,735760,7668.3
20140611,735761,7637.15
20140612,735762,7664.65
20140613,735763,7560
20140616,735766,7559.2
20140617,735767,7657.4
20140618,735768,7569.4
20140619,735769,7560.1
20140620,735770,7525.35
20140623,735773,7505.75
20140624,735774,7595.55
20140625,735775,7574.9
20140626,735776,7493.2
20140627,735777,7543.9
20140630,735780,7634.35
20140701,735781,7662.65
20140702,735782,7749.85
20140703,735783,7736.05
20140704,735784,7782.5
20140707,735787,7798.6
20140708,735788,7648.75
20140709,735789,7598.65
20140710,735790,7576.65
20140711,735791,7480.15
20140714,735794,7475.8
20140715,735795,7538.6
20140716,735796,7643.05
20140717,735797,7658.75
20140718,735798,7669.35
20140721,735801,7686.2
20140722,735802,7767.95
20140723,735803,7791.55
20140724,735804,7833.75
20140725,735805,7785.7
20140728,735808,7743.25
20140730,735810,7788.3
20140731,735811,7721.3
20140801,735812,7622.6
20140804,735815,7718.2
20140805,735816,7772.85
20140806,735817,7691.45
20140807,735818,7669.65
20140808,735819,7591.65
20140811,735822,7641.4
20140812,735823,7748.25
20140813,735824,7746.35
20140814,735825,7803.7
20140818,735829,7877.7
20140819,735830,7909.65
20140820,735831,7890.7
20140821,735832,7903.15
20140822,735833,7927.55
20140825,735836,7915.45
20140826,735837,7906.5
20140827,735838,7931.6
20140828,735839,7954.35
20140901,735843,8069.45
20140902,735844,8121.45
20140903,735845,8140.45
20140904,735846,8132.4
20140905,735847,8116.7
20140908,735850,8193.1
20140909,735851,8182.2
20140910,735852,8130.7
20140911,735853,8119.4
20140912,735854,8137.85
20140915,735857,8062.55
20140916,735858,7960.85
20140917,735859,7992.85
20140918,735860,8136.7
20140919,735861,8131
20140922,735864,8158.45
20140923,735865,8032.2
20140924,735866,8015.2
20140925,735867,7911.85
20140926,735868,8031.9
20140929,735871,7993.9
20140930,735872,7999.15
20141001,735873,7983.65
20141007,735879,7890.9
20141008,735880,7895.5
20141009,735881,7990.35
20141010,735882,7886.8
20141013,735885,7911.4
20141014,735886,7895.25
20141016,735888,7778.1
20141017,735889,7817.05
20141020,735892,7897.25
20141021,735893,7946.4
20141022,735894,8013.8
20141023,735895,8023.85
20141027,735899,7998
20141028,735900,8040.35
20141029,735901,8089.15
20141030,735902,8169.2
20141031,735903,8352.7
20141103,735906,8361.05
20141105,735908,8380.15
20141107,735910,8381.65
20141110,735913,8379.5
20141111,735914,8395.85
20141112,735915,8418.8
20141113,735916,8380.1
20141114,735917,8416.65
20141117,735920,8452.95
20141118,735921,8451.9
20141119,735922,8409.55
20141120,735923,8420.35
20141121,735924,8492.4
20141124,735927,8535.5
20141125,735928,8466.5
20141126,735929,8479.4
20141127,735930,8494.2
20141128,735931,8638.35
20141201,735934,8595.9
20141202,735935,8575.35
20141203,735936,8578.75
20141204,735937,8605.75
20141205,735938,8582.55
20141208,735941,8489.75
20141209,735942,8393.45
20141210,735943,8406.8
20141211,735944,8342.1
20141212,735945,8276.9
20141215,735948,8267.2
20141216,735949,8116
20141217,735950,8060.85
20141218,735951,8180.8
20141219,735952,8239.85
20141222,735955,8334.2
20141223,735956,8271.55
20141224,735957,8174.1
20141226,735959,8273.75
20141229,735962,8316.45
20141230,735963,8317.95
20141231,735964,8337.85
20150101,735965,8343.8
20150102,735966,8458.4
20150105,735969,8422.85
20150106,735970,8157.9
20150107,735971,8141.85
20150108,735972,8257.25
20150109,735973,8315.5
20150112,735976,8360.55
20150113,735977,8316.5
20150114,735978,8307.35
20150115,735979,8515.05
20150116,735980,8535.05
20150119,735983,8574.1
20150120,735984,8717.15
20150121,735985,8738.5
20150122,735986,8779.15
20150123,735987,8844.4
20150127,735991,8922.65
20150128,735992,8904.65
20150129,735993,8952.35
20150130,735994,8872.65
20150202,735997,8859.65
20150203,735998,8809.9
20150204,735999,8776.35
20150205,736000,8751.3
20150206,736001,8711.9
20150209,736004,8562.9
20150210,736005,8611.4
20150211,736006,8670.9
20150212,736007,8752.2
20150213,736008,8841.55
20150216,736011,8845.05
20150218,736013,8891.3
20150219,736014,8916.15
20150220,736015,8849.45
20150223,736018,8753.45
20150224,736019,8773.3
20150225,736020,8767.15
20150226,736021,8683.85
20150227,736022,8889.95
20150228,736023,8964.65
20150302,736025,9000.7
20150303,736026,9054.85
20150304,736027,8956.35
20150305,736028,8988.75
20150309,736032,8784.85
20150310,736033,8760.3
20150311,736034,8752.15
20150312,736035,8813.05
20150313,736036,8674.4
20150316,736039,8665.6
20150317,736040,8740.2
20150318,736041,8704.7
20150319,736042,8635.85
20150320,736043,8602.05
20150323,736046,8565
20150324,736047,8573.85
20150325,736048,8535
20150326,736049,8342.15
20150327,736050,8434.9
20150330,736053,8557.5
20150331,736054,8534.75
20150401,736055,8633.1
20150406,736060,8689.8
20150407,736061,8711.3
20150408,736062,8762.65
20150409,736063,8811.1
20150410,736064,8811.45
20150413,736067,8855.45
20150415,736069,8786.15
20150416,736070,8726.15
20150417,736071,8638.85
20150420,736074,8469.9
20150421,736075,8400.45
20150422,736076,8461.2
20150423,736077,8405.35
20150424,736078,8318.8
