Ntime,Time,Close Price
20151125,736293,19850
20151126,736294,19940
20151127,736295,19860
20151130,736298,19750
20151201,736299,20020
20151202,736300,19950
20151203,736301,19940
20151204,736302,19460
20151207,736305,19750
20151208,736306,19490
20151209,736307,19300
20151210,736308,19020
20151211,736309,19210
20151214,736312,18840
20151215,736313,18550
20151216,736314,19090
20151217,736315,19340
20151218,736316,18950
20151221,736319,18840
20151222,736320,18870
20151224,736322,18810
20151225,736323,18720
20151228,736326,18900
20151229,736327,18980
20151230,736328,19030
20160104,736333,18380
20160105,736334,18360
20160106,736335,18180
20160107,736336,17660
20160108,736337,17690
20160112,736341,17090
20160113,736342,17700
20160114,736343,17310
20160115,736344,17150
20160118,736347,16860
20160119,736348,17060
20160120,736349,16320
20160121,736350,16000
20160122,736351,16870
20160125,736354,17180
20160126,736355,16660
20160127,736356,17170
20160128,736357,17060
20160129,736358,17640
20160201,736361,17870
20160202,736362,17780
20160203,736363,17160
20160204,736364,17070
20160205,736365,16720
20160208,736368,17000
20160209,736369,16060
20160210,736370,15670
20160212,736372,14800
20160215,736375,15940
20160216,736376,16040
20160217,736377,15740
20160218,736378,16240
20160219,736379,15980
20160222,736382,16070
20160223,736383,16100
20160224,736384,15860
20160225,736385,16130
20160226,736386,16260
20160229,736389,15930
20160301,736390,16100
20160302,736391,16740
20160303,736392,16990
20160304,736393,17000
20160307,736396,16950
20160308,736397,16800
20160309,736398,16630
20160310,736399,16850
20160311,736400,16850
20160314,736403,17110
20160315,736404,16960
20160316,736405,16810
20160317,736406,16820
20160318,736407,16510
20160322,736411,16910
20160323,736412,16810
20160324,736413,16720
20160325,736414,16870
20160328,736417,16970
20160329,736418,17100
20160330,736419,16940
20160331,736420,16760
20160401,736421,16180
20160404,736424,16050
20160405,736425,15730
20160406,736426,15740
20160407,736427,15730
20160408,736428,15830
20160411,736431,15740
20160412,736432,15930
20160413,736433,16420
20160414,736434,16900
20160415,736435,16760
20160418,736438,16320
20160419,736439,16870
20160420,736440,16870
20160421,736441,17410
20160422,736442,17570
20160425,736445,17450
20160426,736446,17300
20160427,736447,17270
20160428,736448,16500
20160502,736452,16140
20160506,736456,16080
20160509,736459,16220
