Close Price,Volume,EMA20,WVAD,US Dollar Index,Federal Fund Rate
940.74,489864.0,909.2951259,14512163.93,79.24,0.15
940.38,514138.0,912.2555901000001,12223781.33,79.48,0.15
951.13,485315.0,915.9579149,28515108.49,78.85,0.15
954.58,530930.0,919.6362087000001,38855541.98,78.83,0.14
954.07,463410.0,922.9156174000001,40312426.76,78.79,0.14
976.29,576165.0,927.9988919,46125197.01,79.03,0.15
979.26,445830.0,932.8809022,48574021.56,78.84,0.15
982.18,463129.0,937.5760544,63692333.67,78.63,0.16
979.62,549035.0,941.5802397,60477886.87,78.86,0.15
975.15,517877.0,944.7773597000001,54462396.57,79.52,0.17
986.75,603518.0,948.7747539999999,52163160.6,79.33,0.17
987.48,513907.0,952.4609678999999,52967191.18,78.35,0.18
1002.63,560344.0,957.2389710000001,56944136.68,77.57,0.18
1005.65,571370.0,961.8495452,66361462.04,77.72,0.17
1002.72,724212.0,965.7419694,60870671.19,77.57,0.17
997.08,675338.0,968.7265438,62878731.64,78.0,0.17
1010.48,682708.96,972.7030633999999,66467588.3,78.9,0.17
1007.1,540608.0,975.9789621,73992231.21,79.18,0.17
994.35,577316.0,977.7285847999999,67610794.67,79.17,0.16
1005.81,549817.0,980.4030052999999,72531652.49,78.84,0.15
1012.73,525066.0,983.4817667000001,77355913.84,78.44,0.15
1004.09,494075.0,985.4444556,64088348.43,78.72,0.15
979.73,408857.0,984.9002217,49586929.0,79.34,0.17
989.67,419897.0,985.3544863,44691754.62,78.98,0.17
996.46,425700.0,986.4121543,42250186.71,78.48,0.17
1007.37,489316.0,988.4081396,50322347.55,78.43,0.17
1026.13,588555.0,992.0006977,53876279.19,78.08,0.16
1025.57,630245.0,995.1977741000001,51052252.0,78.24,0.16
1028.0,576874.0,998.3217956,51579838.7,78.29,0.15
1028.12,508006.0,1001.1597199999999,41346605.76,78.66,0.15
1030.98,578588.0,1003.9997470000001,38323460.4,78.11,0.14
