Date,Ntime,Open Price,High Price,Low price,Closing Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20130304,735297,5704.7,5712,5663.6,5698.5,144887325,-64.78,-178.06,56.1,5865.19,5847.911025,5733.9,5810.955,-151.8,-198.45,-3.365299011,-0.040608112,-901474618.8,82.18,7.83
20130305,735298,5722.45,5790.1,5722.4,5784.25,154406134,-61.51,-90.63,91.6,5856.56,5841.84807,5738.48,5795.41,-70.5,-103.15,-1.752046744,-0.026720287,-719191708.7,82.03,7.67
20130306,735299,5816.4,5828.7,5795.05,5818.6,156901392,-55.5,-37.85,44.45,5849.53,5839.633968,5742.82,5782.965,57.25,-79.6,-1.349564274,-0.005749925,-653102890.9,82.57,7.75
20130307,735300,5801.3,5878,5801.3,5863.3,134679762,-46.6,0.28,76.7,5845.75,5841.887876,5776.87,5784.07,66.4,-76.4,-1.286260249,0.002217181,-448215911.2,82.08,7.78
20130308,735301,5883.65,5952.85,5883,5945.7,150781148,-32.52,82.23,89.55,5847.86,5851.774745,5822.07,5793.61,252.65,2.65,0.044589899,0.015296769,-220314024.7,82.74,7.82
20130311,735304,5946.1,5971.2,5930.35,5942.35,125384918,-21.38,98.42,40.85,5850.09,5860.40096,5870.84,5802.37,222.65,90.1,1.539578794,0.03045933,-282364963.3,82.57,7.86
20130312,735305,5944.6,5952,5893.65,5914.1,115944389,-14.67,69.43,58.35,5849.67,5865.515154,5896.81,5817.645,215.6,63.8,1.090542365,0.019817047,-222361007.1,82.6,7.85
20130313,735306,5884.8,5893.85,5842.25,5851.2,116710808,-14.26,16.52,71.85,5845.58,5864.151806,5903.33,5823.075,66.95,-3.55,-0.060634528,0.027028644,-305637149.2,82.9,7.85
20130314,735307,5845.95,5920.15,5791.75,5908.95,149008437,-9.17,30.62,128.4,5846.18,5868.418301,5912.46,5844.665,90.35,147.6,2.561899555,0.032027687,-162136541.8,82.58,7.84
20130315,735308,5914.9,5945.65,5861,5872.6,152156666,-7.98,50.45,84.65,5845.44,5868.816558,5897.84,5859.955,9.3,75.7,1.305870379,0.029646153,-178070439.3,82.14,7.86
